Data from baseball-reference.com,,,,
,,,,
Year,AL Winner,WinsAL,WinsNL,NL Winner
1930,Philadelphia Athletics,4,2,St. Louis Cardinals
1929,Philadelphia Athletics,4,1,Chicago Cubs
1928,New York Yankees,4,0,St. Louis Cardinals
1927,New York Yankees,4,0,Pittsburgh Pirates
1926,New York Yankees,3,4,St. Louis Cardinals
1925,Washington Nationals,3,4,Pittsburgh Pirates
1924,Washington Nationals,4,3,New York Giants
1923,New York Yankees,4,2,New York Giants
1922,New York Yankees,0,4,New York Giants
1921,New York Yankees,3,5,New York Giants
1920,Cleveland Indians,5,2,Brooklyn Robins
1919,Chicago White Sox,3,5,Cincinnati Reds
1918,Boston Red Sox,4,2,Chicago Cubs
1917,Chicago White Sox,4,2,New York Giants
1916,Boston Red Sox,4,1,Brooklyn Robins
1915,Boston Red Sox,4,1,Philadelphia Phillies
1914,Philadelphia Athletics,0,4,Boston Braves
1913,Philadelphia Athletics,4,1,New York Giants
1912,Boston Red Sox,4,3,New York Giants
1911,Philadelphia Athletics,4,2,New York Giants
1910,Philadelphia Athletics,4,1,Chicago Cubs
1909,Detroit Tigers,3,4,Pittsburgh Pirates
1908,Detroit Tigers,1,4,Chicago Cubs
1907,Detroit Tigers,0,4,Chicago Cubs
1906,Chicago White Sox,4,2,Chicago Cubs
1905,Philadelphia Athletics,1,4,New York Giants
1904,NoWorldSeries,NoWorldSeries,NoWorldSeries,NoWorldSeries
1903,Boston Americans,5,3,Pittsburgh Pirates
